DATA_REF_SYNTAX,SUB_EX_ID,TABLE_ID,ENS_MEMBER,GRID_LABEL,VERSION_NO,VAR_NAME,panels
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical,none,day,r1i1p1f1,gn,v20191108,pr,a,b,c
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126,none,day,r1i1p1f1,gn,v20191108,pr,a
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585,none,day,r1i1p1f1,gn,v20191108,pr,b,c
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical,none,day,r1i1p1f1,gn,v20191115,pr,a,b,c
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126,none,day,r1i1p1f1,gn,v20191115,pr,a
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585,none,day,r1i1p1f1,gn,v20191115,pr,b,c
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical,none,day,r1i1p1f1,gn,v20181126,pr,a,b,c
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126,none,day,r1i1p1f1,gn,v20190315,pr,a
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585,none,day,r1i1p1f1,gn,v20190318,pr,b,c
CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical,none,day,r2i1p1f1,gn,v20200716,pr,a,b,c
CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0.ssp126,none,day,r2i1p1f1,gn,v20191106,pr,a
CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0.ssp585,none,day,r2i1p1f1,gn,v20191106,pr,b,c
CMIP6.CMIP.CCCma.CanESM5.historical,none,day,r1i1p1f1,gn,v20190429,pr,a,b,c
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,none,day,r1i1p1f1,gn,v20190429,pr,a
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,day,r1i1p1f1,gn,v20190429,pr,b,c
CMIP6.CMIP.NCAR.CESM2-WACCM.historical,none,day,r1i1p1f1,gn,v20190415,pr,a,b,c
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp126,none,day,r1i1p1f1,gn,v20190815,pr,a
