DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;HANDLE
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585;none;r1i1p1f1;day;snw;gn;v20190710;hdl:21.14100/4e9143c8-ba60-4d49-8107-7dfe60e280ea;b,d
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical;none;r1i1p1f1;day;snw;gn;v20191108;hdl:21.14100/4c7d7ea2-1426-488b-b589-aef114b5330b;b,d
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126;none;r1i1p1f1;day;snw;gn;v20191108;hdl:21.14100/b7cc7605-589d-4957-8af9-7822ecdbba05;b,d
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585;none;r1i1p1f1;day;snw;gn;v20191108;hdl:21.14100/1c434dcb-7f09-45a2-a11a-ee3c2edd147c;b,d
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical;none;r1i1p1f1;day;snw;gn;v20181218;hdl:21.14100/a537cebc-b755-4558-b8d0-fa5a6f813d38;b,d
CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp126;none;r1i1p1f1;day;snw;gn;v20190529;hdl:21.14100/79558b7c-c86b-406c-b016-ced1393c4ce8;b,d
CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp585;none;r1i1p1f1;day;snw;gn;v20190529;hdl:21.14100/3637bcd0-5897-4c9c-8669-a84eb18bed28;b,d
CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.historical;none;r1i1p1f3;day;snw;gn;v20190624;hdl:21.14100/74b7cb1e-b49c-43c5-b923-e79dd6478696;b,d
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp126;none;r1i1p1f3;day;snw;gn;v20200114;hdl:21.14100/430de877-17f0-4ee7-af0b-3a5b4be60a23;b,d
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585;none;r1i1p1f3;day;snw;gn;v20200114;hdl:21.14100/008767fb-04c0-4a1e-b8b7-2b85486332b0;b,d
