"","X","DATA_REF_SYNTAX","SUB_EX_ID","TABLE_ID","ENS_MEMBER","GRID_LABEL","VERSION_NO","VAR_NAME"
"86",86,"CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126","none","Amon","r1i1p1f1","gn","v20190710","sfcWind"
"89",89,"CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585","none","Amon","r1i1p1f1","gn","v20190710","sfcWind"
"91",91,"CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126","none","Amon","r1i1p1f1","gr","v20200310","sfcWind"
"94",94,"CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585","none","Amon","r1i1p1f1","gr","v20200310","sfcWind"
"97",97,"CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp126","none","Amon","r1i1p1f1","gr","v20200225","sfcWind"
"100",100,"CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585","none","Amon","r1i1p1f1","gr","v20200225","sfcWind"
"101",101,"CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126","none","Amon","r1i1p1f1","gr1","v20190603","sfcWind"
"104",104,"CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585","none","Amon","r1i1p1f1","gr1","v20190603","sfcWind"
"105",105,"CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126","none","Amon","r1i1p1f1","gr1","v20190619","sfcWind"
"108",108,"CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585","none","Amon","r1i1p1f1","gr1","v20190724","sfcWind"
"109",109,"CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126","none","Amon","r1i1p1f1","gr","v20190903","sfcWind"
"113",113,"CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585","none","Amon","r1i1p1f1","gr","v20190903","sfcWind"
"114",114,"CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp126","none","Amon","r1i1p1f1","gr1","v20191106","sfcWind"
"116",116,"CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp585","none","Amon","r1i1p1f1","gr1","v20191106","sfcWind"
"117",117,"CMIP6.ScenarioMIP.MIROC.MIROC6.ssp126","none","Amon","r1i1p1f1","gn","v20190627","sfcWind"
