Regions;;lo_ESL;ce_ESL;up_ESL;lo_ESL_lo_SLR;ce_ESL_ce_SLR;up_ESL_up_SLR;lo_ESL_lo_SLR;ce_ESL_ce_SLR;up_ESL_up_SLR;lo_ESL_lo_SLR;ce_ESL_ce_SLR;up_ESL_up_SLR;lo_ESL_lo_SLR;ce_ESL_ce_SLR;up_ESL_up_SLR
;;Present day;Present day;Present day;RCP45 2050;RCP45 2050;RCP45 2050;RCP45 2100;RCP45 2100;RCP45 2100;RCP85 2050;RCP85 2050;RCP85 2050;RCP85 2100;RCP85 2100;RCP85 2100
S.E.South-America;SES;1,201;1,270;1,352;1,338;1,4849;1,652;1,495;1,772;2,089;1,344;1,5104;1,699;1,646;2,0051;2,439
S.Eastern-Africa;SEAF;2,216;2,231;2,246;2,377;2,4737;2,576;2,553;2,782;3,031;2,399;2,5005;2,609;2,712;3,0065;3,352
S.Indic-Ocean;;0,987;1,070;1,181;1,119;1,3207;1,557;1,323;1,660;2,047;1,123;1,3395;1,592;1,472;1,8836;2,380
S.Pacific-Ocean;;1,081;1,134;1,200;1,201;1,3718;1,563;1,419;1,705;2,026;1,234;1,3956;1,578;1,563;1,9163;2,339
S.South-America;SSA;2,056;2,130;2,206;2,131;2,2855;2,450;2,268;2,522;2,806;2,154;2,3083;2,474;2,403;2,7088;3,083
S.W.South-America;SWS;2,039;2,088;2,144;2,113;2,2295;2,359;2,260;2,471;2,715;2,132;2,2471;2,377;2,379;2,6336;2,956
Sahara;SAH;0,992;1,030;1,080;1,129;1,2408;1,369;1,277;1,513;1,775;1,146;1,2676;1,407;1,440;1,7344;2,080
Southern-Ocean;SOO;1,449;1,516;1,589;1,569;1,749;1,942;1,782;2,082;2,414;1,586;1,7761;1,981;1,936;2,3126;2,758
W.C.Asia;WCA;1,762;1,797;1,838;1,834;1,9529;2,082;1,970;2,193;2,437;1,881;1,9932;2,117;2,101;2,3934;2,733
W.North-America;WNA;2,624;2,701;2,792;2,725;2,8903;3,072;2,839;3,143;3,470;2,725;2,8976;3,088;2,936;3,2837;3,675
W.Southern-Africa;WSA;1,285;1,324;1,367;1,452;1,5679;1,694;1,629;1,896;2,189;1,475;1,5989;1,734;1,790;2,1346;2,541
West&Central-Europe;WCE;2,096;2,233;2,443;2,194;2,4239;2,729;2,311;2,648;3,062;2,216;2,4484;2,756;2,444;2,8415;3,328
Western-Africa;WAF;1,649;1,667;1,696;1,801;1,8999;2,013;1,964;2,210;2,484;1,822;1,9289;2,052;2,105;2,4337;2,820
Global;Global;1,9241;2,0037;2,1125;1,914;2,1357;2,392;1,912;2,3085;2,752;1,927;2,1576;2,424;2,014;2,4821;3,024
