DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;SUBPANEL
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-MM.ssp126;none;r1i1p1f3;day;tasmax;;20200515;d
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-MM.ssp585;none;r1i1p1f3;day;tasmax;;20200515;e,f
CMIP6.CMIP.INM.INM-CM4-8.historical;none;r1i1p1f1;day;huss;gr1;20190530;d,e,f
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126;none;r1i1p1f1;day;huss;gr1;20190603;d
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585;none;r1i1p1f1;day;huss;gr1;20190603;e,f
CMIP6.CMIP.INM.INM-CM4-8.historical;none;r1i1p1f1;day;psl;gr1;20190530;d,e,f
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126;none;r1i1p1f1;day;psl;gr1;20190603;d
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585;none;r1i1p1f1;day;psl;gr1;20190603;e,f
CMIP6.CMIP.INM.INM-CM4-8.historical;none;r1i1p1f1;day;tasmax;gr1;20190530;d,e,f
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126;none;r1i1p1f1;day;tasmax;gr1;20190603;d
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585;none;r1i1p1f1;day;tasmax;gr1;20190603;e,f
CMIP6.CMIP.INM.INM-CM5-0.historical;none;r1i1p1f1;day;huss;gr1;20190610;d,e,f
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126;none;r1i1p1f1;day;huss;gr1;20190619;d
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585;none;r1i1p1f1;day;huss;gr1;20190724;e,f
CMIP6.CMIP.INM.INM-CM5-0.historical;none;r1i1p1f1;day;psl;gr1;20190610;d,e,f
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126;none;r1i1p1f1;day;psl;gr1;20190619;d
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585;none;r1i1p1f1;day;psl;gr1;20190724;e,f
CMIP6.CMIP.INM.INM-CM5-0.historical;none;r1i1p1f1;day;tasmax;gr1;20190610;d,e,f
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126;none;r1i1p1f1;day;tasmax;gr1;20190619;d
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585;none;r1i1p1f1;day;tasmax;gr1;20190724;e,f
CMIP6.CMIP.NIMS-KMA.KACE-1-0-G.historical;none;r2i1p1f1;day;huss;gr;20190920;d,e,f
CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp126;none;r2i1p1f1;day;huss;gr;20191011;d
CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp585;none;r2i1p1f1;day;huss;gr;20191011;e,f
CMIP6.CMIP.NIMS-KMA.KACE-1-0-G.historical;none;r2i1p1f1;day;psl;gr;20190920;d,e,f
CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp126;none;r2i1p1f1;day;psl;gr;20191011;d
CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp585;none;r2i1p1f1;day;psl;gr;20191011;e,f
CMIP6.CMIP.NIMS-KMA.KACE-1-0-G.historical;none;r2i1p1f1;day;tasmax;gr;20200317;d,e,f
CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp126;none;r2i1p1f1;day;tasmax;gr;20200316;d
CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp585;none;r2i1p1f1;day;tasmax;gr;20200317;e,f
CMIP6.CMIP.KIOST.KIOST-ESM.historical;none;r1i1p1f1;day;huss;gr1;20191202;d,e,f
CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp126;none;r1i1p1f1;day;huss;gr1;20191202;d
CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp585;none;r1i1p1f1;day;huss;gr1;20191202;e,f
CMIP6.CMIP.KIOST.KIOST-ESM.historical;none;r1i1p1f1;day;psl;gr1;20201012;d,e,f
