DATA_REF_SYNTAX;MODEL_ID;RCM_VERSION_ID;FREQUENCY;VAR_NAME;VERSION_NO;SUBPANEL
cordex.output.SAM-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1;REMO2015;v1;day;mrro;v20191015;a,e,f
cordex.output.SAM-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20191025;e,f
cordex.output.SAM-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20191029;a,e,f
cordex.output.SAM-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1;REMO2015;v1;day;mrro;v20191015;a,e,f
cordex.output.SAM-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20191025;e,f
cordex.output.SAM-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20191029;a,e,f
cordex.output.SAM-22.GERICS.NCC-NorESM1-M.historical.r1i1p1;REMO2015;v1;day;mrro;v20191015;a,e,f
cordex.output.SAM-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20191025;e,f
cordex.output.SAM-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20191029;a,e,f
cordex.output.SAM-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.SAM-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;e,f
cordex.output.SAM-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.SAM-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.SAM-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;e,f
cordex.output.SAM-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.SAM-22.ICTP.NCC-NorESM1-M.historical.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.SAM-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;e,f
cordex.output.SAM-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.CAM-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1;REMO2015;v1;day;mrro;v20191015;a,e,f
cordex.output.CAM-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20191025;e,f
cordex.output.CAM-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20191029;a,e,f
cordex.output.CAM-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1;REMO2015;v1;day;mrro;v20191015;a,e,f
cordex.output.CAM-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20191025;e,f
cordex.output.CAM-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20191029;a,e,f
cordex.output.CAM-22.GERICS.NCC-NorESM1-M.historical.r1i1p1;REMO2015;v1;day;mrro;v20191015;a,e,f
cordex.output.CAM-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20191025;e,f
cordex.output.CAM-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20191029;a,e,f
cordex.output.CAM-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.CAM-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;e,f
cordex.output.CAM-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.CAM-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.CAM-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;e,f
cordex.output.CAM-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.CAM-22.ICTP.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.CAM-22.ICTP.NOAA-GFDL-GFDL-ESM2M.rcp26.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;e,f
cordex.output.CAM-22.ICTP.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
