DATA_REF_SYNTAX;MODEL_ID;RCM_VERSION_ID;FREQUENCY;VAR_NAME;VERSION_NO;SUBPANEL
cordex-reklies.output.EUR-11.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1;REMO2015;v1;day;mrro;v20170412;a,e,f
cordex.output.EUR-11.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20180710;e,f
cordex-reklies.output.EUR-11.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20170412;a,e,f
cordex.output.EUR-11.GERICS.MPI-M-MPI-ESM-LR.historical.r3i1p1;REMO2015;v1;day;mrro;v20190925;a,e,f
cordex.output.EUR-11.GERICS.MPI-M-MPI-ESM-LR.rcp85.r3i1p1;REMO2015;v1;day;mrro;v20190925;a,e,f
cordex.output.EUR-11.GERICS.NCC-NorESM1-M.historical.r1i1p1;REMO2015;v1;day;mrro;v20181107;a,e,f
cordex.output.EUR-11.GERICS.NCC-NorESM1-M.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20190925;e,f
cordex.output.EUR-11.GERICS.NCC-NorESM1-M.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20181212;a,e,f
cordex.output.EUR-11.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1;RegCM4-6;v1;day;mrro;v20190502;a,e,f
cordex.output.EUR-11.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1;RegCM4-6;v1;day;mrro;v20190502;e,f
cordex.output.EUR-11.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1;RegCM4-6;v1;day;mrro;v20190502;a,e,f
cordex.output.EUR-11.ICTP.MPI-M-MPI-ESM-LR.historical.r1i1p1;RegCM4-6;v1;day;mrro;v20190502;a,e,f
cordex.output.EUR-11.ICTP.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;RegCM4-6;v1;day;mrro;v20190502;a,e,f
cordex.output.EUR-11.IPSL.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;WRF381P;v2;day;mrro;v20191015;a,e,f
cordex.output.EUR-11.IPSL.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;WRF381P;v2;day;mrro;v20191015;a,e,f
cordex.output.EUR-11.IPSL.NCC-NorESM1-M.historical.r1i1p1;WRF381P;v1;day;mrro;v20190919;a,e,f
cordex.output.EUR-11.IPSL.NCC-NorESM1-M.rcp85.r1i1p1;WRF381P;v1;day;mrro;v20190919;a,e,f
cordex.output.EUR-11.KNMI.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;RACMO22E;v2;day;mrro;v20181212;a,e,f
cordex.output.EUR-11.KNMI.CNRM-CERFACS-CNRM-CM5.rcp26.r1i1p1;RACMO22E;v2;day;mrro;v20190418;e,f
cordex.output.EUR-11.KNMI.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;RACMO22E;v2;day;mrro;v20181212;a,e,f
cordex.output.EUR-11.KNMI.ICHEC-EC-EARTH.historical.r1i1p1;RACMO22E;v1;day;mrro;v20140313;a,e,f
cordex.output.EUR-11.KNMI.ICHEC-EC-EARTH.rcp85.r1i1p1;RACMO22E;v1;day;mrro;v20140324;a,e,f
cordex.output.EUR-11.KNMI.ICHEC-EC-EARTH.historical.r12i1p1;RACMO22E;v1;day;mrro;v20170208;a,e,f
cordex.output.EUR-11.KNMI.ICHEC-EC-EARTH.rcp26.r12i1p1;RACMO22E;v1;day;mrro;v20170206;e,f
cordex.output.EUR-11.KNMI.ICHEC-EC-EARTH.rcp85.r12i1p1;RACMO22E;v1;day;mrro;v20170606;a,e,f
cordex.output.EUR-11.KNMI.ICHEC-EC-EARTH.historical.r3i1p1;RACMO22E;v1;day;mrro;v20190108;a,e,f
cordex.output.EUR-11.KNMI.ICHEC-EC-EARTH.rcp85.r3i1p1;RACMO22E;v1;day;mrro;v20190103;a,e,f
cordex.output.EUR-11.KNMI.MOHC-HadGEM2-ES.historical.r1i1p1;RACMO22E;v2;day;mrro;v20160620;a,e,f
cordex.output.EUR-11.KNMI.MOHC-HadGEM2-ES.rcp26.r1i1p1;RACMO22E;v2;day;mrro;v20160830;e,f
cordex.output.EUR-11.KNMI.MOHC-HadGEM2-ES.rcp85.r1i1p1;RACMO22E;v2;day;mrro;v20160705;a,e,f
cordex.output.EUR-11.KNMI.MPI-M-MPI-ESM-LR.historical.r1i1p1;RACMO22E;v1;day;mrro;v20190619;a,e,f
cordex.output.EUR-11.KNMI.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;RACMO22E;v1;day;mrro;v20190625;a,e,f
cordex.output.EUR-11.KNMI.NCC-NorESM1-M.historical.r1i1p1;RACMO22E;v1;day;mrro;v20190415;a,e,f
cordex.output.EUR-11.KNMI.NCC-NorESM1-M.rcp85.r1i1p1;RACMO22E;v1;day;mrro;v20190412;a,e,f
