DATA_REF_SYNTAX,MODEL_ID,RCM_VERSION_ID,FREQUENCY,VAR_NAME,VERSION_NO,PANELS
CORDEX.output.NAM-22.UQAM.MPI-M-MPI-ESM-LR.rcp85.r1i1p1,UQAM-CRCM5,v1,day,sfcWind,v20200831,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-22.UQAM.MPI-M-MPI-ESM-MR.historical.r1i1p1,UQAM-CRCM5,v1,day,sfcWind,v20200831,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-22.UQAM.MPI-M-MPI-ESM-MR.rcp85.r1i1p1,UQAM-CRCM5,v1,day,sfcWind,v20200831,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-44.DMI.ICHEC-EC-EARTH.historical.r3i1p1,DMI-HIRHAM5,v1,day,sfcWind,v20131108,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-44.DMI.ICHEC-EC-EARTH.rcp45.r3i1p1,DMI-HIRHAM5,v1,day,sfcWind,v20131108,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-44.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1,DMI-HIRHAM5,v1,day,sfcWind,v20131108,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-44.SMHI.CCCma-CanESM2.historical.r1i1p1,SMHI-RCA4,v1,day,sfcWind,v20140401,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-44.SMHI.CCCma-CanESM2.rcp45.r1i1p1,SMHI-RCA4,v1,day,sfcWind,v20140401,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-44.SMHI.CCCma-CanESM2.rcp85.r1i1p1,SMHI-RCA4,v1,day,sfcWind,v20140401,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1,SMHI-RCA4,v1,day,sfcWind,v20140401,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1,SMHI-RCA4,v1,day,sfcWind,v20140401,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.rcp45.r12i1p1,SMHI-RCA4,v1,day,sfcWind,v20140401,NWN,NEN,WNA,CNA,ENA,NCA
CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1,SMHI-RCA4,v1,day,sfcWind,v20140401,NWN,NEN,WNA,CNA,ENA,NCA
