"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"13","CORDEX.output.NAM-22.ISU.MOHC-HadGEM2-ES.historical.r1i1p1","ISU-RegCM4","v4-4-rc8","day","sfcWind","v20200831"
"14","CORDEX.output.NAM-22.ISU.MOHC-HadGEM2-ES.rcp85.r1i1p1","ISU-RegCM4","v4-4-rc8","day","sfcWind","v20200831"
"15","CORDEX.output.NAM-22.ISU.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1","ISU-RegCM4","v4-4-rc8","day","sfcWind","v20200831"
"16","CORDEX.output.NAM-22.ISU.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1","ISU-RegCM4","v4-4-rc8","day","sfcWind","v20200831"
"17","CORDEX.output.NAM-22.NCAR.MOHC-HadGEM2-ES.historical.r1i1p1","NCAR-WRF","v3-5-1","day","sfcWind","v20200831"
"18","CORDEX.output.NAM-22.NCAR.MOHC-HadGEM2-ES.rcp85.r1i1p1","NCAR-WRF","v3-5-1","day","sfcWind","v20200831"
"19","CORDEX.output.NAM-22.NCAR.MPI-M-MPI-ESM-LR.historical.r1i1p1","NCAR-RegCM4","v4-4-rc8","day","sfcWind","v20200831"
"20","CORDEX.output.NAM-22.NCAR.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","NCAR-RegCM4","v4-4-rc8","day","sfcWind","v20200831"
"21","CORDEX.output.NAM-22.NCAR.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1","NCAR-WRF","v3-5-1","day","sfcWind","v20200831"
"22","CORDEX.output.NAM-22.NCAR.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1","NCAR-WRF","v3-5-1","day","sfcWind","v20200831"
"23","CORDEX.output.NAM-22.UA.MPI-M-MPI-ESM-LR.historical.r1i1p1","UA-WRF","v3-5-1","day","sfcWind","v20200831"
"24","CORDEX.output.NAM-22.UA.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","UA-WRF","v3-5-1","day","sfcWind","v20200831"
"25","CORDEX.output.NAM-22.UQAM.CCCma-CanESM2.historical.r1i1p1","UQAM-CRCM5","v1","day","sfcWind","v20200831"
"26","CORDEX.output.NAM-22.UQAM.CCCma-CanESM2.rcp85.r1i1p1","UQAM-CRCM5","v1","day","sfcWind","v20200831"
"27","CORDEX.output.NAM-22.UQAM.MPI-M-MPI-ESM-LR.historical.r1i1p1","UQAM-CRCM5","v1","day","sfcWind","v20200831"
"28","CORDEX.output.NAM-22.UQAM.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","UQAM-CRCM5","v1","day","sfcWind","v20200831"
"29","CORDEX.output.NAM-22.UQAM.MPI-M-MPI-ESM-MR.historical.r1i1p1","UQAM-CRCM5","v1","day","sfcWind","v20200831"
"30","CORDEX.output.NAM-22.UQAM.MPI-M-MPI-ESM-MR.rcp85.r1i1p1","UQAM-CRCM5","v1","day","sfcWind","v20200831"
"31","CORDEX.output.NAM-44.DMI.ICHEC-EC-EARTH.historical.r3i1p1","DMI-HIRHAM5","v1","day","sfcWind","v20131108"
"32","CORDEX.output.NAM-44.DMI.ICHEC-EC-EARTH.rcp45.r3i1p1","DMI-HIRHAM5","v1","day","sfcWind","v20131108"
"33","CORDEX.output.NAM-44.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1","DMI-HIRHAM5","v1","day","sfcWind","v20131108"
"34","CORDEX.output.NAM-44.SMHI.CCCma-CanESM2.historical.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140401"
"35","CORDEX.output.NAM-44.SMHI.CCCma-CanESM2.rcp45.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140401"
"36","CORDEX.output.NAM-44.SMHI.CCCma-CanESM2.rcp85.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140401"
"37","CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1","SMHI-RCA4","v1","day","sfcWind","v20140401"
"38","CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1","SMHI-RCA4","v1","day","sfcWind","v20140401"
"39","CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.rcp45.r12i1p1","SMHI-RCA4","v1","day","sfcWind","v20140401"
"40","CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1","SMHI-RCA4","v1","day","sfcWind","v20140401"
