DATA_REF_SYNTAX,MODEL_ID,RCM_VERSION_ID,FREQUENCY,VAR_NAME,VERSION_NO,HANDLE,SUBPANEL
CORDEX.output.EUR-11.CLMcom-ETH.MOHC-HadGEM2-ES.historical.r1i1p1,CLMcom-ETH-COSMO-crCLIM-v1-1,v1,mon,snw,version_no,793ecc2c-745d-11ea-8708-d09466354597,NEU,WCE,MED
CORDEX.output.EUR-11.CNRM.MPI-M-MPI-ESM-LR.historical.r1i1p1,CNRM-ALADIN63,v1,mon,snw,version_no,hdl:21.14103/3a84a807-842d-4aec-9b1f-7cbd97ac8e21,NEU,WCE,MED
CORDEX.output.EUR-11.GERICS.ICHEC-EC-EARTH.historical.r12i1p1,GERICS-REMO2015,v1,mon,snw,version_no,56eedd55-0a53-46eb-9098-79256d8b30ef,NEU,WCE,MED
CORDEX.output.EUR-11.DMI.NCC-NorESM1-M.historical.r1i1p1,DMI-HIRHAM5,v2,mon,snw,version_no,5fe1344c-de13-11e6-ab09-bf7158918659,NEU,WCE,MED
CORDEX.output.EUR-11.KNMI.ICHEC-EC-EARTH.historical.r12i1p1,KNMI-RACMO22E,v1,mon,snw,version_no,def34d08-ac61-44ee-b580-fd27a62059ae,NEU,WCE,MED
CORDEX.output.EUR-11.MOHC.ICHEC-EC-EARTH.historical.r12i1p1,MOHC-HadREM3-GA7-05,v1,mon,snw,version_no,hdl:21.14103/09c3ab48-e8e5-4b31-8100-ab99d6e878e1,NEU,WCE,MED
CORDEX.output.EUR-11.DMI.ICHEC-EC-EARTH.historical.r12i1p1,DMI-HIRHAM5,v1,mon,snw,version_no,558d768e-cd65-11e8-8219-4f7d592f7e59,NEU,WCE,MED
CORDEX.output.EUR-11.KNMI.MPI-M-MPI-ESM-LR.historical.r1i1p1,KNMI-RACMO22E,v1,mon,snw,version_no,b3c24a45-4d19-41ad-9459-0528f013c886,NEU,WCE,MED
CORDEX.output.EUR-11.KNMI.ICHEC-EC-EARTH.historical.r1i1p1,KNMI-RACMO22E,v1,mon,snw,version_no,none,NEU,WCE,MED
CORDEX.output.EUR-11.IPSL.NCC-NorESM1-M.historical.r1i1p1,IPSL-WRF381P,v1,mon,snw,version_no,hdl:21.14103/60ad858b-a402-4bd5-89ee-246d49ada7de,NEU,WCE,MED
CORDEX.output.EUR-11.GERICS.MPI-M-MPI-ESM-LR.historical.r3i1p1,GERICS-REMO2015,v1,mon,snw,version_no,hdl:21.14103/977cb072-af31-47c7-894f-dd710f8e7177,NEU,WCE,MED
CORDEX.output.EUR-11.MOHC.MPI-M-MPI-ESM-LR.historical.r1i1p1,MOHC-HadREM3-GA7-05,v1,mon,snw,version_no,hdl:21.14103/b2b05cfd-eacc-49d3-b677-6b9c8de0d49a,NEU,WCE,MED
CORDEX.output.EUR-11.CLMcom-ETH.ICHEC-EC-EARTH.historical.r12i1p1,CLMcom-ETH-COSMO-crCLIM-v1-1,v1,mon,snw,version_no,4916cd96-fe66-11e9-affc-b82a72db0770,NEU,WCE,MED
CORDEX.output.EUR-11.DMI.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1,DMI-HIRHAM5,v2,mon,snw,version_no,eac631da-1a88-11e9-a59a-ab8a1e8e36a9,NEU,WCE,MED
CORDEX.output.EUR-11.CLMcom.MOHC-HadGEM2-ES.historical.r1i1p1,CLMcom-CCLM4-8-17,v1,mon,snw,version_no,28762f3d-8b6d-42f8-aa98-74d61cf24498,NEU,WCE,MED
CORDEX.output.EUR-11.CNRM.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1,CNRM-ALADIN63,v2,mon,snw,version_no,hdl:21.14103/0c0540d3-1dcc-4784-82d5-b5657c192e7b,NEU,WCE,MED
CORDEX.output.EUR-11.SMHI.NCC-NorESM1-M.historical.r1i1p1,SMHI-RCA4,v1,mon,snw,version_no,6ee06bb4-d47b-40f8-9fb6-803b9983749e,NEU,WCE,MED
CORDEX.output.EUR-11.UHOH.ICHEC-EC-EARTH.historical.r12i1p1,UHOH-WRF361H,v1,mon,snw,version_no,c537eda8-3487-11e6-843b-000101001613,NEU,WCE,MED
CORDEX.output.EUR-11.CNRM.NCC-NorESM1-M.historical.r1i1p1,CNRM-ALADIN63,v1,mon,snw,version_no,hdl:21.14103/587e6ab3-e816-4234-8bca-f444c62dc0a6,NEU,WCE,MED
CORDEX.output.EUR-11.GERICS.MIROC-MIROC5.historical.r1i1p1,GERICS-REMO2015,v1,mon,snw,version_no,b2bb3adf-078f-48e5-bbf8-a37264a9c9af,NEU,WCE,MED
CORDEX.output.EUR-11.CLMcom.MPI-M-MPI-ESM-LR.historical.r1i1p1,CLMcom-CCLM4-8-17,v1,mon,snw,version_no,7f5a5068-2920-475f-a6d7-383092166a54,NEU,WCE,MED
CORDEX.output.EUR-11.CLMcom.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1,CLMcom-CCLM4-8-17,v1,mon,snw,version_no,74305df8-6bdc-4a96-b8ee-799ce1dc8b7e,NEU,WCE,MED
CORDEX.output.EUR-11.SMHI.ICHEC-EC-EARTH.historical.r3i1p1,SMHI-RCA4,v1,mon,snw,version_no,88a82823-5549-4c74-b4a7-08fa5a7b1308,NEU,WCE,MED
CORDEX.output.EUR-11.MPI-CSC.MPI-M-MPI-ESM-LR.historical.r1i1p1,MPI-CSC-REMO2009,v1,mon,snw,version_no,15d26c17-70a4-4433-81b3-de1e7413920b,NEU,WCE,MED
CORDEX.output.EUR-11.CLMcom-ETH.NCC-NorESM1-M.historical.r1i1p1,CLMcom-ETH-COSMO-crCLIM-v1-1,v1,mon,snw,version_no,29dd3ce6-ed7a-11e9-bc6d-d094663067f9,NEU,WCE,MED
CORDEX.output.EUR-11.MPI-CSC.MPI-M-MPI-ESM-LR.historical.r2i1p1,MPI-CSC-REMO2009,v1,mon,snw,version_no,88f1eea0-198d-4757-beae-c7326a402e94,NEU,WCE,MED
CORDEX.output.EUR-11.UHOH.MPI-M-MPI-ESM-LR.historical.r1i1p1,UHOH-WRF361H,v1,mon,snw,version_no,0bc6ea4c-a562-4ded-92b8-eb6ef537c7a7,NEU,WCE,MED
CORDEX.output.EUR-11.MOHC.NCC-NorESM1-M.historical.r1i1p1,MOHC-HadREM3-GA7-05,v1,mon,snw,version_no,hdl:21.14103/149849c8-8024-471f-9f2b-eb677141db52,NEU,WCE,MED
CORDEX.output.EUR-11.CLMcom.MIROC-MIROC5.historical.r1i1p1,CLMcom-CCLM4-8-17,v1,mon,snw,version_no,35f1bea0-df5b-11e7-978c-27799671c2e1,NEU,WCE,MED
CORDEX.output.EUR-11.KNMI.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1,KNMI-RACMO22E,v2,mon,snw,version_no,72c74c9d-108b-40a9-81ad-18091561eb77,NEU,WCE,MED
CORDEX.output.EUR-11.KNMI.MOHC-HadGEM2-ES.historical.r1i1p1,KNMI-RACMO22E,v2,mon,snw,version_no,171d3547-beb6-4c6c-ac29-e6651c80752f,NEU,WCE,MED
CORDEX.output.EUR-11.ICTP.MPI-M-MPI-ESM-LR.historical.r1i1p1,ICTP-RegCM4-6,v1,mon,snw,version_no,279c12c4-f486-11e8-a4cd-0894ef4f73c4,NEU,WCE,MED
CORDEX.output.EUR-11.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1,GERICS-REMO2015,v1,mon,snw,version_no,ed1fe834-d108-4f08-a2a6-7a07cc14e682,NEU,WCE,MED
CORDEX.output.EUR-11.ICTP.ICHEC-EC-EARTH.historical.r12i1p1,ICTP-RegCM4-6,v1,mon,snw,version_no,fce1a3f2-f577-11e9-b60e-0894ef509f60,NEU,WCE,MED
CORDEX.output.EUR-11.GERICS.CCCma-CanESM2.historical.r1i1p1,GERICS-REMO2015,v1,mon,snw,version_no,0e0c261b-9a33-4e09-820d-7f6d61f1d569,NEU,WCE,MED
CORDEX.output.EUR-11.SMHI.MPI-M-MPI-ESM-LR.historical.r3i1p1,SMHI-RCA4,v1,mon,snw,version_no,41d4e7a8-912f-489b-b9a8-274c6e6f32e0,NEU,WCE,MED
CORDEX.output.EUR-11.KNMI.NCC-NorESM1-M.historical.r1i1p1,KNMI-RACMO22E,v1,mon,snw,version_no,1d74e926-4401-4c82-be11-50a53731223e,NEU,WCE,MED
CORDEX.output.EUR-11.CNRM.MOHC-HadGEM2-ES.historical.r1i1p1,CNRM-ALADIN63,v1,mon,snw,version_no,hdl:21.14103/de6d3bba-a9b9-41b3-a955-6aeb58643f43,NEU,WCE,MED
CORDEX.output.EUR-11.GERICS.IPSL-IPSL-CM5A-MR.historical.r1i1p1,GERICS-REMO2015,v1,mon,snw,version_no,hdl:21.14103/606bbce8-2655-48cb-8478-e109245b45e6,NEU,WCE,MED
CORDEX.output.EUR-11.IPSL.ICHEC-EC-EARTH.historical.r12i1p1,IPSL-WRF381P,v1,mon,snw,version_no,hdl:21.14103/19b65ffd-213c-4eb7-9109-b2122325dac7,NEU,WCE,MED
CORDEX.output.EUR-11.CLMcom-ETH.MPI-M-MPI-ESM-LR.historical.r1i1p1,CLMcom-ETH-COSMO-crCLIM-v1-1,v1,mon,snw,version_no,4c504f8e-e4a6-11e9-a214-d09466354597,NEU,WCE,MED
CORDEX.output.EUR-11.IPSL.MOHC-HadGEM2-ES.historical.r1i1p1,IPSL-WRF381P,v1,mon,snw,version_no,hdl:21.14103/bd4aacf2-233e-4c08-b9b1-070b4c8b8534,NEU,WCE,MED
CORDEX.output.EUR-11.UHOH.MOHC-HadGEM2-ES.historical.r1i1p1,UHOH-WRF361H,v1,mon,snw,version_no,711580b9-1b0a-4ac3-b2e3-0f45280c5ff7,NEU,WCE,MED
CORDEX.output.EUR-11.GERICS.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1,GERICS-REMO2015,v1,mon,snw,version_no,38613f95-2e9c-4387-b7f0-3b31a7935565,NEU,WCE,MED
CORDEX.output.EUR-11.CLMcom.CCCma-CanESM2.historical.r1i1p1,CLMcom-CCLM4-8-17,v1,mon,snw,version_no,6d83f172-f571-11e7-97ba-dd685a925ffb,NEU,WCE,MED
CORDEX.output.EUR-11.CLMcom.ICHEC-EC-EARTH.historical.r12i1p1,CLMcom-CCLM4-8-17,v1,mon,snw,version_no,10e13df3-6421-4ce0-a978-0268d4002e5c,NEU,WCE,MED
