"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"44","CORDEX.output.AFR-44.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1","GERICS-REMO2009","v1","day","pr","v20160728"
"45","CORDEX.output.AFR-44.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1","GERICS-REMO2009","v1","day","pr","v20170620"
"46","CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.historical.r1i1p1","KNMI-RACMO22T","v1","day","pr","v20140207"
"48","CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.rcp85.r1i1p1","KNMI-RACMO22T","v1","day","pr","v20140207"
"49","CORDEX.output.AFR-44.KNMI.MOHC-HadGEM2-ES.historical.r1i1p1","KNMI-RACMO22T","v2","day","pr","v20160802"
"50","CORDEX.output.AFR-44.KNMI.MOHC-HadGEM2-ES.rcp26.r1i1p1","KNMI-RACMO22T","v2","day","pr","v20160802"
"52","CORDEX.output.AFR-44.KNMI.MOHC-HadGEM2-ES.rcp85.r1i1p1","KNMI-RACMO22T","v2","day","pr","v20160802"
"53","CORDEX.output.AFR-44.MPI-CSC.ICHEC-EC-EARTH.historical.r12i1p1","MPI-CSC-REMO2009","v1","day","pr","v20160412"
"54","CORDEX.output.AFR-44.MPI-CSC.ICHEC-EC-EARTH.rcp26.r12i1p1","MPI-CSC-REMO2009","v1","day","pr","v20160412"
"56","CORDEX.output.AFR-44.MPI-CSC.ICHEC-EC-EARTH.rcp85.r12i1p1","MPI-CSC-REMO2009","v1","day","pr","v20160412"
"57","CORDEX.output.AFR-44.MPI-CSC.MPI-M-MPI-ESM-LR.historical.r1i1p1","MPI-CSC-REMO2009","v1","day","pr","v20160412"
"58","CORDEX.output.AFR-44.MPI-CSC.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","MPI-CSC-REMO2009","v1","day","pr","v20160412"
"60","CORDEX.output.AFR-44.MPI-CSC.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","MPI-CSC-REMO2009","v1","day","pr","v20160412"
"61","CORDEX.output.AFR-44.SMHI.CCCma-CanESM2.historical.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"63","CORDEX.output.AFR-44.SMHI.CCCma-CanESM2.rcp85.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"64","CORDEX.output.AFR-44.SMHI.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"66","CORDEX.output.AFR-44.SMHI.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"67","CORDEX.output.AFR-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.historical.r1i1p1","SMHI-RCA4","v1","day","pr","v20141217"
"69","CORDEX.output.AFR-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.rcp85.r1i1p1","SMHI-RCA4","v1","day","pr","v20141217"
"70","CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"71","CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"73","CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"74","CORDEX.output.AFR-44.SMHI.IPSL-IPSL-CM5A-MR.historical.r1i1p1","SMHI-RCA4","v1","day","pr","v20140612"
"76","CORDEX.output.AFR-44.SMHI.IPSL-IPSL-CM5A-MR.rcp85.r1i1p1","SMHI-RCA4","v1","day","pr","v20140612"
"77","CORDEX.output.AFR-44.SMHI.MIROC-MIROC5.historical.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"78","CORDEX.output.AFR-44.SMHI.MIROC-MIROC5.rcp26.r1i1p1","SMHI-RCA4","v1","day","pr","v20160803"
"80","CORDEX.output.AFR-44.SMHI.MIROC-MIROC5.rcp85.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"81","CORDEX.output.AFR-44.SMHI.MOHC-HadGEM2-ES.historical.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"82","CORDEX.output.AFR-44.SMHI.MOHC-HadGEM2-ES.rcp26.r1i1p1","SMHI-RCA4","v1","day","pr","v20141217"
"84","CORDEX.output.AFR-44.SMHI.MOHC-HadGEM2-ES.rcp85.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"85","CORDEX.output.AFR-44.SMHI.MPI-M-MPI-ESM-LR.historical.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"86","CORDEX.output.AFR-44.SMHI.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","SMHI-RCA4","v1","day","pr","v20140612"
"88","CORDEX.output.AFR-44.SMHI.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"89","CORDEX.output.AFR-44.SMHI.NCC-NorESM1-M.historical.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"90","CORDEX.output.AFR-44.SMHI.NCC-NorESM1-M.rcp26.r1i1p1","SMHI-RCA4","v1","day","pr","v20160803"
"92","CORDEX.output.AFR-44.SMHI.NCC-NorESM1-M.rcp85.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"93","CORDEX.output.AFR-44.SMHI.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
"95","CORDEX.output.AFR-44.SMHI.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1","SMHI-RCA4","v1","day","pr","v20130927"
