"","DATA_REF_SYNTAX","SUB_EX_ID","TABLE_ID","ENS_MEMBER","GRID_LABEL","VERSION_NO","VAR_NAME"
"123","CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp126","none","day","r1i1p1f3","gn","v20200114","pr"
"125","CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585","none","day","r1i1p1f3","gn","v20200114","pr"
"6","CMIP6.CMIP.CCCR-IITM.IITM-ESM.historical","none","day","r1i1p1f1","gn","v20191226","pr"
"55","CMIP6.ScenarioMIP.CCCR-IITM.IITM-ESM.ssp126","none","day","r1i1p1f1","gn","v20201112","pr"
"58","CMIP6.ScenarioMIP.CCCR-IITM.IITM-ESM.ssp585","none","day","r1i1p1f1","gn","v20200915","pr"
"18","CMIP6.CMIP.INM.INM-CM4-8.historical","none","day","r1i1p1f1","gr1","v20190530","pr"
"98","CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126","none","day","r1i1p1f1","gr1","v20190603","pr"
"101","CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585","none","day","r1i1p1f1","gr1","v20190603","pr"
"19","CMIP6.CMIP.INM.INM-CM5-0.historical","none","day","r1i1p1f1","gr1","v20190610","pr"
"102","CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126","none","day","r1i1p1f1","gr1","v20190619","pr"
"105","CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585","none","day","r1i1p1f1","gr1","v20190724","pr"
"20","CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical","none","day","r1i1p1f1","gr","v20180803","pr"
"106","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126","none","day","r1i1p1f1","gr","v20190903","pr"
"110","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585","none","day","r1i1p1f1","gr","v20190903","pr"
"33","CMIP6.CMIP.NIMS-KMA.KACE-1-0-G.historical","none","day","r2i1p1f1","gr","v20190920","pr"
"155","CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp126","none","day","r2i1p1f1","gr","v20191011","pr"
"158","CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp585","none","day","r2i1p1f1","gr","v20191011","pr"
"21","CMIP6.CMIP.KIOST.KIOST-ESM.historical","none","day","r1i1p1f1","gr1","v20191202","pr"
"111","CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp126","none","day","r1i1p1f1","gr1","v20191202","pr"
"113","CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp585","none","day","r1i1p1f1","gr1","v20210125","pr"
"23","CMIP6.CMIP.MIROC.MIROC-ES2L.historical","none","day","r1i1p1f2","gn","v20191129","pr"
"119","CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126","none","day","r1i1p1f2","gn","v20200318","pr"
"122","CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585","none","day","r1i1p1f2","gn","v20200318","pr"
"22","CMIP6.CMIP.MIROC.MIROC6.historical","none","day","r1i1p1f1","gn","v20191016","pr"
"114","CMIP6.ScenarioMIP.MIROC.MIROC6.ssp126","none","day","r1i1p1f1","gn","v20191016","pr"
"118","CMIP6.ScenarioMIP.MIROC.MIROC6.ssp585","none","day","r1i1p1f1","gn","v20191016","pr"
"26","CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical","none","day","r1i1p1f1","gn","v20190710","pr"
"82","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126","none","day","r1i1p1f1","gn","v20190710","pr"
"85","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585","none","day","r1i1p1f1","gn","v20190710","pr"
"27","CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical","none","day","r1i1p1f1","gn","v20190710","pr"
"130","CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126","none","day","r1i1p1f1","gn","v20190710","pr"
"133","CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585","none","day","r1i1p1f1","gn","v20190710","pr"
"28","CMIP6.CMIP.MRI.MRI-ESM2-0.historical","none","day","r1i1p1f1","gn","v20190603","pr"
"134","CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp126","none","day","r1i1p1f1","gn","v20191108","pr"
"138","CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp585","none","day","r1i1p1f1","gn","v20191108","pr"
"36","CMIP6.CMIP.NUIST.NESM3.historical","none","day","r1i1p1f1","gn","v20190812","pr"
"165","CMIP6.ScenarioMIP.NUIST.NESM3.ssp126","none","day","r1i1p1f1","gn","v20190806","pr"
"167","CMIP6.ScenarioMIP.NUIST.NESM3.ssp585","none","day","r1i1p1f1","gn","v20190811","pr"
"31","CMIP6.CMIP.NCC.NorESM2-LM.historical","none","day","r1i1p1f1","gn","v20190815","pr"
"147","CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp126","none","day","r1i1p1f1","gn","v20191108","pr"
"150","CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp585","none","day","r1i1p1f1","gn","v20191108","pr"
"32","CMIP6.CMIP.NCC.NorESM2-MM.historical","none","day","r1i1p1f1","gn","v20191108","pr"
"151","CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp126","none","day","r1i1p1f1","gn","v20191108","pr"
"154","CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp585","none","day","r1i1p1f1","gn","v20191108","pr"
"1","CMIP6.CMIP.AS-RCEC.TaiESM1.historical","none","day","r1i1p1f1","gn","v20200626","pr"
"37","CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp585","none","day","r1i1p1f1","gn","v20200902","pr"
"25","CMIP6.CMIP.MOHC.UKESM1-0-LL.historical","none","day","r1i1p1f2","gn","v20190627","pr"
"126","CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126","none","day","r1i1p1f2","gn","v20190708","pr"
"129","CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585","none","day","r1i1p1f2","gn","v20190726","pr"
