"","DATA_REF_SYNTAX","SUB_EX_ID","ENS_MEMBER","TABLE_ID","VAR_NAME","GRID_LABEL","VERSION_NO"
"52","CMIP6.ScenarioMIP.CMCC.CMCC-CM2-SR5.ssp245","none","r1i1p1f1","day","pr","gn","v20200617"
"53","CMIP6.ScenarioMIP.CMCC.CMCC-CM2-SR5.ssp585","none","r1i1p1f1","day","pr","gn","v20200622"
"54","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp126","none","r1i1p1f2","day","pr","gr","v20200127"
"55","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585","none","r1i1p1f2","day","pr","gr","v20191202"
"56","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126","none","r1i1p1f2","day","pr","gr","v20190219"
"57","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp245","none","r1i1p1f2","day","pr","gr","v20190219"
"58","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585","none","r1i1p1f2","day","pr","gr","v20190219"
"59","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126","none","r1i1p1f2","day","pr","gr","v20190328"
"60","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp245","none","r1i1p1f2","day","pr","gr","v20190328"
"61","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585","none","r1i1p1f2","day","pr","gr","v20191021"
"62","CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126","none","r1i1p1f1","day","pr","gn","v20191115"
"63","CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245","none","r1i1p1f1","day","pr","gn","v20191115"
"64","CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585","none","r1i1p1f1","day","pr","gn","v20191115"
"65","CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126","none","r1i1p1f1","day","pr","gn","v20191108"
"66","CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp245","none","r1i1p1f1","day","pr","gn","v20191108"
"67","CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585","none","r1i1p1f1","day","pr","gn","v20191108"
"68","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126","none","r1i1p1f1","day","pr","gn","v20190710"
"69","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245","none","r1i1p1f1","day","pr","gn","v20190710"
"70","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585","none","r1i1p1f1","day","pr","gn","v20190710"
"71","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126","none","r1i1p1f1","day","pr","gr","v20200310"
"72","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245","none","r1i1p1f1","day","pr","gr","v20200310"
"73","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585","none","r1i1p1f1","day","pr","gr","v20200310"
"74","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg-LR.ssp245","none","r1i1p1f1","day","pr","gr","v20201123"
"75","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp126","none","r1i1p1f1","day","pr","gr","v20200225"
"76","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp245","none","r1i1p1f1","day","pr","gr","v20200225"
"77","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585","none","r1i1p1f1","day","pr","gr","v20200225"
"78","CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126","none","r1i1p1f1","day","pr","gr1","v20190603"
"79","CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp245","none","r1i1p1f1","day","pr","gr1","v20190603"
"80","CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585","none","r1i1p1f1","day","pr","gr1","v20190603"
"81","CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126","none","r1i1p1f1","day","pr","gr1","v20190619"
"82","CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp245","none","r1i1p1f1","day","pr","gr1","v20190619"
"83","CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585","none","r1i1p1f1","day","pr","gr1","v20190724"
"84","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126","none","r1i1p1f1","day","pr","gr","v20190903"
"85","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245","none","r1i1p1f1","day","pr","gr","v20190119"
"86","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585","none","r1i1p1f1","day","pr","gr","v20190903"
"87","CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp126","none","r1i1p1f1","day","pr","gr1","v20191202"
