DATA_REF_SYNTAX,MODEL_ID,RCM_VERSION_ID,FREQUENCY,VAR_NAME,VERSION_NO,PANELS
CORDEX.output.SAM-44.SMHI.IPSL-IPSL-CM5A-MR.historical.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.IPSL-IPSL-CM5A-MR.rcp85.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.MIROC-MIROC5.historical.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.MIROC-MIROC5.rcp26.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.MIROC-MIROC5.rcp85.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.MOHC-HadGEM2-ES.historical.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.MOHC-HadGEM2-ES.rcp26.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.MOHC-HadGEM2-ES.rcp85.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.MPI-M-MPI-ESM-LR.historical.r1i1p1,SMHI-RCA4,v3,day,pr,v20150521,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.MPI-M-MPI-ESM-LR.rcp26.r1i1p1,SMHI-RCA4,v3,day,pr,v20150521,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.MPI-M-MPI-ESM-LR.rcp85.r1i1p1,SMHI-RCA4,v3,day,pr,v20150521,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.NCC-NorESM1-M.historical.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.NCC-NorESM1-M.rcp26.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.NCC-NorESM1-M.rcp85.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.SMHI.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1,SMHI-RCA4,v3,day,pr,v20170705,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.UCAN.CCCma-CanESM2.historical.r1i1p1,UCAN-WRF341I,v2,day,pr,v20161020,NWS,NSA,SAM,NES,SWS,SES,SSA
CORDEX.output.SAM-44.UCAN.CCCma-CanESM2.rcp85.r1i1p1,UCAN-WRF341I,v2,day,pr,v20191223,NWS,NSA,SAM,NES,SWS,SES,SSA
