DATA_REF_SYNTAX,SUB_EX_ID,ENS_MEMBER,day,VAR_NAME,GRID_LABEL,VERSION_NO
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp245,none,r1i1p1f1,day,pr,gn,v20191108
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585,none,r1i1p1f1,day,pr,gn,v20191108
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126,none,r1i1p1f1,day,pr,gn,v20190710
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245,none,r1i1p1f1,day,pr,gn,v20190710
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585,none,r1i1p1f1,day,pr,gn,v20190710
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126,none,r1i1p1f1,day,pr,gr,v20200310
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245,none,r1i1p1f1,day,pr,gr,v20200310
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585,none,r1i1p1f1,day,pr,gr,v20200310
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg-LR.ssp245,none,r1i1p1f1,day,pr,gr,v20201123
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp126,none,r1i1p1f1,day,pr,gr,v20200225
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp245,none,r1i1p1f1,day,pr,gr,v20200225
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585,none,r1i1p1f1,day,pr,gr,v20200225
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126,none,r1i1p1f1,day,pr,gr1,v20190603
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp245,none,r1i1p1f1,day,pr,gr1,v20190603
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585,none,r1i1p1f1,day,pr,gr1,v20190603
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126,none,r1i1p1f1,day,pr,gr1,v20190619
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp245,none,r1i1p1f1,day,pr,gr1,v20190619
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585,none,r1i1p1f1,day,pr,gr1,v20190724
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,none,r1i1p1f1,day,pr,gr,v20190903
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245,none,r1i1p1f1,day,pr,gr,v20190119
