"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"47","CORDEX.output.AUS-44.UNSW.CCCma-CanESM2.historical.r1i1p1","UNSW-WRF360K","v1","day","pr","v20200927"
"50","CORDEX.output.AUS-44.UNSW.CCCma-CanESM2.rcp85.r1i1p1","UNSW-WRF360J","v1","day","pr","v20200927"
"51","CORDEX.output.AUS-44.UNSW.CCCma-CanESM2.rcp85.r1i1p1","UNSW-WRF360K","v1","day","pr","v20200927"
"52","CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-0.historical.r1i1p1","UNSW-WRF360J","v1","day","pr","v20200927"
"53","CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-0.historical.r1i1p1","UNSW-WRF360K","v1","day","pr","v20200927"
"56","CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-0.rcp85.r1i1p1","UNSW-WRF360J","v1","day","pr","v20200927"
"57","CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-0.rcp85.r1i1p1","UNSW-WRF360K","v1","day","pr","v20200927"
"58","CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-3.historical.r1i1p1","UNSW-WRF360J","v1","day","pr","v20180614"
"59","CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-3.historical.r1i1p1","UNSW-WRF360K","v1","day","pr","v20180614"
"62","CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-3.rcp85.r1i1p1","UNSW-WRF360J","v1","day","pr","v20200927"
"63","CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-3.rcp85.r1i1p1","UNSW-WRF360K","v1","day","pr","v20200927"
