"","DATA_REF_SYNTAX","FREQUENCY","MODELING_REALM","TABLE_ID","ENS_MEMBER","VERSION_NO","VAR_NAME"
"37","CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp26","day","atmos","Table day (27 April 2011) bf45c74b31f20daf85ca72b20a6007b7","r1i1p1","v20110518","pr"
"38","CMIP5.output.ICHEC.EC-EARTH.rcp26","day","atmos","Table day (26 July 2011) 0640f2bc62aad4ebefa8ecc119311890","r12i1p1",NA,"pr"
"39","CMIP5.output.LASG-CESS.FGOALS_g2.rcp26","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"40","CMIP5.output1.NOAA GFDL.GFDL-CM3.rcp26","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"pr"
"41","CMIP5.output1.NOAA GFDL.GFDL-ESM2G.rcp26","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"pr"
"42","CMIP5.output1.NOAA GFDL.GFDL-ESM2M.rcp26","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"pr"
"43","CMIP5.output.MOHC.HadGEM2-ES.rcp26","day","atmos","Table day (28 March 2011) f9d6cfec5981bb8be1801b35a81002f0","r1i1p1",NA,"pr"
"44","CMIP5.output.IPSL.IPSL-CM5A-LR.rcp26","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"pr"
"45","CMIP5.output.IPSL.IPSL-CM5A-MR.rcp26","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"pr"
"46","CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp26","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"47","CMIP5.output.MIROC.MIROC-ESM.rcp26","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"48","CMIP5.output.MIROC.MIROC5.rcp26","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"49","CMIP5.output.MPI-M.MPI-ESM-LR.rcp26","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"50","CMIP5.output.MPI-M.MPI-ESM-MR.rcp26","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"51","CMIP5.output.MRI.MRI-CGCM3.rcp26","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"52","CMIP5.output.NCC.NorESM1-M.rcp26","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"53","CMIP5.output.CSIRO-BOM.ACCESS1-0.rcp45","day","atmos","Table day (01 February 2012) b6353e9919862612c81d65cae757c88a","r1i1p1","v20120115","pr"
"54","CMIP5.output.CSIRO-BOM.ACCESS1.3.rcp45","day","atmos","Table day (01 February 2012) b6353e9919862612c81d65cae757c88a","r1i1p1","v20120413","pr"
"55","CMIP5.output.BCC.bcc-csm1-1-m.rcp45","day","atmos","Table day (11 April 2011) ec52f6ea2595168e5458ad1b950fd49c","r1i1p1",NA,"pr"
"56","CMIP5.output.BCC.bcc-csm1-1.rcp45","day","atmos","Table day (11 April 2011) ec52f6ea2595168e5458ad1b950fd49c","r1i1p1",NA,"pr"
"57","CMIP5.output.BNU.BNU-ESM.rcp45","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"58","CMIP5.output.CCCma.CanESM2.rcp45","day","atmos","Table day (28 March 2011) f9d6cfec5981bb8be1801b35a81002f0","r1i1p1",NA,"pr"
"59","CMIP5.output.NCAR.CCSM4.rcp45","day","atmos","Table day (12 January 2012) 7757d80c56ae0b9009f150afa4850c4e","r1i1p1",NA,"pr"
"60","CMIP5.output.NSF-DOE-NCAR.CESM1-BGC.rcp45","day","atmos","Table day (12 January 2012) 7757d80c56ae0b9009f150afa4850c4e","r1i1p1",NA,"pr"
"61","CMIP5.output.CMCC.CMCC-CM.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"62","CMIP5.output.CMCC.CMCC-CMS.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"63","CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp45","day","atmos","Table day (31 January 2011) 43a867c1fea438258e3971754e4dacea","r1i1p1",NA,"pr"
"64","CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp45","day","atmos","Table day (27 April 2011) bf45c74b31f20daf85ca72b20a6007b7","r1i1p1","v20110518","pr"
"65","CMIP5.output.ICHEC.EC-EARTH.rcp45","day","atmos","Table day (26 July 2011) 0640f2bc62aad4ebefa8ecc119311890","r12i1p1",NA,"pr"
"66","CMIP5.output.LASG-CESS.FGOALS_g2.rcp45","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
