DATA_REF_SYNTAX,MODEL_ID,RCM_VERSION_ID,FREQUENCY,VAR_NAME,VERSION_NO,PANELS
CORDEX.output.AUS-44.CLMcom.ICHEC-EC-EARTH.rcp85.r12i1p1,CLMcom-CCLM4-8-17-CLM3-5,v1,day,tasmax,v20180710,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.CLMcom.MPI-M-MPI-ESM-LR.historical.r1i1p1,CLMcom-CCLM4-8-17-CLM3-5,v1,day,tasmax,v20170206,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.CLMcom.MPI-M-MPI-ESM-LR.rcp85.r1i1p1,CLMcom-CCLM4-8-17-CLM3-5,v1,day,tasmax,v20180710,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.CCCma-CanESM2.historical.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.CCCma-CanESM2.rcp85.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.CSIRO-BOM-ACCESS1-0.historical.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.CSIRO-BOM-ACCESS1-0.rcp85.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.ECMWF-ERAINT.historical.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.MIROC-MIROC5.historical.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.MIROC-MIROC5.rcp85.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.NCC-NorESM1-M.historical.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.NCC-NorESM1-M.rcp85.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44i.CSIRO.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1,CSIRO-CCAM-2008,v1,day,tasmax,v20201120,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CCCma-CanESM2.historical.r1i1p1,UNSW-WRF360J,v1,day,tasmax,v20200927,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CCCma-CanESM2.historical.r1i1p1,UNSW-WRF360K,v1,day,tasmax,v20200927,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CCCma-CanESM2.rcp85.r1i1p1,UNSW-WRF360J,v1,day,tasmax,v20200927,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CCCma-CanESM2.rcp85.r1i1p1,UNSW-WRF360K,v1,day,tasmax,v20200927,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-0.historical.r1i1p1,UNSW-WRF360J,v1,day,tasmax,v20200927,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-0.historical.r1i1p1,UNSW-WRF360K,v1,day,tasmax,v20200927,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-0.historical.r1i1p1,UNSW-WRF360L,v1,day,tasmax,v20180614,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-0.rcp85.r1i1p1,UNSW-WRF360J,v1,day,tasmax,v20200927,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-0.rcp85.r1i1p1,UNSW-WRF360K,v1,day,tasmax,v20200927,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-3.historical.r1i1p1,UNSW-WRF360J,v1,day,tasmax,v20180614,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-3.historical.r1i1p1,UNSW-WRF360K,v1,day,tasmax,v20180614,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-3.historical.r1i1p1,UNSW-WRF360L,v1,day,tasmax,v20180614,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-3.rcp85.r1i1p1,UNSW-WRF360J,v1,day,tasmax,v20200927,NAU,CAU,EAU,SAU,NZ
CORDEX.output.AUS-44.UNSW.CSIRO-BOM-ACCESS1-3.rcp85.r1i1p1,UNSW-WRF360K,v1,day,tasmax,v20200927,NAU,CAU,EAU,SAU,NZ
