"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"1","CORDEX.output.AUS-22.CLMcom-HZG.MOHC-HadGEM2-ES.historical.r1i1p1","CLMcom-HZG-CCLM5-0-15","v1","day","tasmax","v20200312"
"2","CORDEX.output.AUS-22.CLMcom-HZG.MOHC-HadGEM2-ES.rcp26.r1i1p1","CLMcom-HZG-CCLM5-0-15","v1","day","tasmax","v20200312"
"3","CORDEX.output.AUS-22.CLMcom-HZG.MOHC-HadGEM2-ES.rcp85.r1i1p1","CLMcom-HZG-CCLM5-0-15","v1","day","tasmax","v20200312"
"4","CORDEX.output.AUS-22.CLMcom-HZG.MPI-M-MPI-ESM-LR.historical.r1i1p1","CLMcom-HZG-CCLM5-0-15","v1","day","tasmax","v20200312"
"5","CORDEX.output.AUS-22.CLMcom-HZG.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","CLMcom-HZG-CCLM5-0-15","v1","day","tasmax","v20200312"
"6","CORDEX.output.AUS-22.CLMcom-HZG.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","CLMcom-HZG-CCLM5-0-15","v1","day","tasmax","v20200312"
"7","CORDEX.output.AUS-22.CLMcom-HZG.NCC-NorESM1-M.historical.r1i1p1","CLMcom-HZG-CCLM5-0-15","v1","day","tasmax","v20200312"
"8","CORDEX.output.AUS-22.CLMcom-HZG.NCC-NorESM1-M.rcp26.r1i1p1","CLMcom-HZG-CCLM5-0-15","v1","day","tasmax","v20200312"
"9","CORDEX.output.AUS-22.CLMcom-HZG.NCC-NorESM1-M.rcp85.r1i1p1","CLMcom-HZG-CCLM5-0-15","v1","day","tasmax","v20200312"
"10","CORDEX.output.AUS-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191015"
"11","CORDEX.output.AUS-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191025"
"12","CORDEX.output.AUS-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191029"
"13","CORDEX.output.AUS-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191015"
"14","CORDEX.output.AUS-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191025"
