"","DATA_REF_SYNTAX","FREQUENCY","MODELING_REALM","TABLE_ID","ENS_MEMBER","VERSION_NO","VAR_NAME"
"62","CMIP5.output.CMCC.CMCC-CMS.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"63","CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp45","day","atmos","Table day (31 January 2011) 43a867c1fea438258e3971754e4dacea","r1i1p1",NA,"tasmax"
"64","CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp45","day","atmos","Table day (27 April 2011) bf45c74b31f20daf85ca72b20a6007b7","r1i1p1","v20110518","tasmax"
"65","CMIP5.output.ICHEC.EC-EARTH.rcp45","day","atmos","Table day (26 July 2011) 0640f2bc62aad4ebefa8ecc119311890","r12i1p1",NA,"tasmax"
"66","CMIP5.output.LASG-CESS.FGOALS_g2.rcp45","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"67","CMIP5.output1.NOAA GFDL.GFDL-ESM2G.rcp45","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"tasmax"
"68","CMIP5.output1.NOAA GFDL.GFDL-ESM2M.rcp45","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"tasmax"
"69","CMIP5.output.MOHC.HadGEM2-CC.rcp45","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"70","CMIP5.output.MOHC.HadGEM2-ES.rcp45","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"71","CMIP5.output.INM.inmcm4.rcp45","day","atmos","Table day (12 May 2010) f130b8ed0705d49c749410c0519c50cb","r1i1p1",NA,"tasmax"
"72","CMIP5.output.IPSL.IPSL-CM5A-LR.rcp45","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"tasmax"
"73","CMIP5.output.IPSL.IPSL-CM5A-MR.rcp45","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"tasmax"
"74","CMIP5.output.IPSL.IPSL-CM5B-LR.rcp45","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"tasmax"
"75","CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp45","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"76","CMIP5.output.MIROC.MIROC-ESM.rcp45","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"77","CMIP5.output.MIROC.MIROC5.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"78","CMIP5.output.MPI-M.MPI-ESM-LR.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"79","CMIP5.output.MPI-M.MPI-ESM-MR.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"80","CMIP5.output.MRI.MRI-CGCM3.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"81","CMIP5.output.NCC.NorESM1-M.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"82","CMIP5.output.CSIRO-BOM.ACCESS1-0.rcp85","day","atmos","Table day (01 February 2012) b6353e9919862612c81d65cae757c88a","r1i1p1","v20120115","tasmax"
"83","CMIP5.output.CSIRO-BOM.ACCESS1.3.rcp85","day","atmos","Table day (01 February 2012) b6353e9919862612c81d65cae757c88a","r1i1p1","v20120413","tasmax"
"84","CMIP5.output.BCC.bcc-csm1-1-m.rcp85","day","atmos","Table day (11 April 2011) ec52f6ea2595168e5458ad1b950fd49c","r1i1p1",NA,"tasmax"
"85","CMIP5.output.BCC.bcc-csm1-1.rcp85","day","atmos","Table day (11 April 2011) ec52f6ea2595168e5458ad1b950fd49c","r1i1p1",NA,"tasmax"
"86","CMIP5.output.BNU.BNU-ESM.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"87","CMIP5.output.CCCma.CanESM2.rcp85","day","atmos","Table day (28 March 2011) f9d6cfec5981bb8be1801b35a81002f0","r1i1p1",NA,"tasmax"
"88","CMIP5.output.NCAR.CCSM4.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"89","CMIP5.output.NSF-DOE-NCAR.CESM1-BGC.rcp85","day","atmos","Table day (12 January 2012) 7757d80c56ae0b9009f150afa4850c4e","r1i1p1",NA,"tasmax"
"90","CMIP5.output.CMCC.CMCC-CM.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"91","CMIP5.output.CMCC.CMCC-CMS.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"92","CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp85","day","atmos","Table day (31 January 2011) 43a867c1fea438258e3971754e4dacea","r1i1p1",NA,"tasmax"
"93","CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85","day","atmos","Table day (27 April 2011) bf45c74b31f20daf85ca72b20a6007b7","r1i1p1","v20110518","tasmax"
"94","CMIP5.output.ICHEC.EC-EARTH.rcp85","day","atmos","Table day (26 July 2011) 0640f2bc62aad4ebefa8ecc119311890","r12i1p1",NA,"tasmax"
"95","CMIP5.output.LASG-CESS.FGOALS_g2.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"96","CMIP5.output1.NOAA GFDL.GFDL-CM3.rcp85","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"tasmax"
"97","CMIP5.output1.NOAA GFDL.GFDL-ESM2G.rcp85","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"tasmax"
"98","CMIP5.output1.NOAA GFDL.GFDL-ESM2M.rcp85","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"tasmax"
"99","CMIP5.output.MOHC.HadGEM2-CC.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"100","CMIP5.output.MOHC.HadGEM2-ES.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"101","CMIP5.output.INM.inmcm4.rcp85","day","atmos","Table day (12 May 2010) f130b8ed0705d49c749410c0519c50cb","r1i1p1",NA,"tasmax"
"102","CMIP5.output.IPSL.IPSL-CM5A-LR.rcp85","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"tasmax"
"103","CMIP5.output.IPSL.IPSL-CM5A-MR.rcp85","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"tasmax"
"104","CMIP5.output.IPSL.IPSL-CM5B-LR.rcp85","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"tasmax"
"105","CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"106","CMIP5.output.MIROC.MIROC-ESM.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"tasmax"
"107","CMIP5.output.MIROC.MIROC5.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"108","CMIP5.output.MPI-M.MPI-ESM-LR.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"109","CMIP5.output.MPI-M.MPI-ESM-MR.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"110","CMIP5.output.MRI.MRI-CGCM3.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
"111","CMIP5.output.NCC.NorESM1-M.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"tasmax"
