"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"1","CORDEX.output.AFR-22.CCCma.CCCma-CanESM2.historical.r1i1p1","CCCma-CanRCM4","r2","day","tasmax","v20201015"
"3","CORDEX.output.AFR-22.CCCma.CCCma-CanESM2.rcp85.r1i1p1","CCCma-CanRCM4","r2","day","tasmax","v20201015"
"4","CORDEX.output.AFR-22.CLMcom-KIT.MOHC-HadGEM2-ES.historical.r1i1p1","CLMcom-KIT-CCLM5-0-15","v1","day","tasmax","v20191218"
"5","CORDEX.output.AFR-22.CLMcom-KIT.MOHC-HadGEM2-ES.rcp26.r1i1p1","CLMcom-KIT-CCLM5-0-15","v1","day","tasmax","v20191219"
"6","CORDEX.output.AFR-22.CLMcom-KIT.MOHC-HadGEM2-ES.rcp85.r1i1p1","CLMcom-KIT-CCLM5-0-15","v1","day","tasmax","v20200103"
"7","CORDEX.output.AFR-22.CLMcom-KIT.MPI-M-MPI-ESM-LR.historical.r1i1p1","CLMcom-KIT-CCLM5-0-15","v1","day","tasmax","v20191218"
"8","CORDEX.output.AFR-22.CLMcom-KIT.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","CLMcom-KIT-CCLM5-0-15","v1","day","tasmax","v20191218"
"9","CORDEX.output.AFR-22.CLMcom-KIT.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","CLMcom-KIT-CCLM5-0-15","v1","day","tasmax","v20200103"
"10","CORDEX.output.AFR-22.CLMcom-KIT.NCC-NorESM1-M.historical.r1i1p1","CLMcom-KIT-CCLM5-0-15","v1","day","tasmax","v20191219"
"11","CORDEX.output.AFR-22.CLMcom-KIT.NCC-NorESM1-M.rcp26.r1i1p1","CLMcom-KIT-CCLM5-0-15","v1","day","tasmax","v20200103"
"12","CORDEX.output.AFR-22.CLMcom-KIT.NCC-NorESM1-M.rcp85.r1i1p1","CLMcom-KIT-CCLM5-0-15","v1","day","tasmax","v20200103"
"13","CORDEX.output.AFR-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191015"
"14","CORDEX.output.AFR-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191025"
"15","CORDEX.output.AFR-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191029"
"16","CORDEX.output.AFR-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191015"
"17","CORDEX.output.AFR-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191025"
"18","CORDEX.output.AFR-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191029"
