DATA_REF_SYNTAX,MODEL_ID,RCM_VERSION_ID,FREQUENCY,VAR_NAME,VERSION_NO,PANELS
CORDEX.output.AFR-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1,ICTP-RegCM4-7,v0,day,tasmax,v20190502,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1,ICTP-RegCM4-7,v0,day,tasmax,v20190502,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1,ICTP-RegCM4-7,v0,day,tasmax,v20190502,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-22.ICTP.NCC-NorESM1-M.historical.r1i1p1,ICTP-RegCM4-7,v0,day,tasmax,v20190502,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1,ICTP-RegCM4-7,v0,day,tasmax,v20190502,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1,ICTP-RegCM4-7,v0,day,tasmax,v20190502,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.CLMcom.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1,CLMcom-CCLM4-8-17,v1,day,tasmax,v20140401,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.CLMcom.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1,CLMcom-CCLM4-8-17,v1,day,tasmax,v20140401,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.CLMcom.ICHEC-EC-EARTH.historical.r12i1p1,CLMcom-CCLM4-8-17,v1,day,tasmax,v20140401,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.CLMcom.ICHEC-EC-EARTH.rcp85.r12i1p1,CLMcom-CCLM4-8-17,v1,day,tasmax,v20140401,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.CLMcom.MOHC-HadGEM2-ES.historical.r1i1p1,CLMcom-CCLM4-8-17,v1,day,tasmax,v20140401,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.CLMcom.MOHC-HadGEM2-ES.rcp85.r1i1p1,CLMcom-CCLM4-8-17,v1,day,tasmax,v20140401,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.CLMcom.MPI-M-MPI-ESM-LR.historical.r1i1p1,CLMcom-CCLM4-8-17,v1,day,tasmax,v20140401,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.CLMcom.MPI-M-MPI-ESM-LR.rcp85.r1i1p1,CLMcom-CCLM4-8-17,v1,day,tasmax,v20140401,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.DMI.ICHEC-EC-EARTH.historical.r3i1p1,DMI-HIRHAM5,v2,day,tasmax,v20140804,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
