DATA_REF_SYNTAX,SUB_EX_ID,TABLE_ID,ENS_MEMBER,GRID_LABEL,VERSION_NO,VAR_NAME
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585,none,day,r1i1p1f1,gr1,v20190724,tasmax
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,day,r1i1p1f1,gr,v20190614,tasmax
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,none,day,r1i1p1f1,gr,v20190903,tasmax
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585,none,day,r1i1p1f1,gr,v20190903,tasmax
CMIP6.CMIP.NIMS-KMA.KACE-1-0-G.historical,none,day,r2i1p1f1,gr,v20200317,tasmax
CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp126,none,day,r2i1p1f1,gr,v20200316,tasmax
CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp585,none,day,r2i1p1f1,gr,v20200317,tasmax
CMIP6.CMIP.MIROC.MIROC-ES2L.historical,none,day,r1i1p1f2,gn,v20191129,tasmax
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126,none,day,r1i1p1f2,gn,v20200318,tasmax
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585,none,day,r1i1p1f2,gn,v20200318,tasmax
CMIP6.CMIP.MIROC.MIROC6.historical,none,day,r1i1p1f1,gn,v20191016,tasmax
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp126,none,day,r1i1p1f1,gn,v20191016,tasmax
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp585,none,day,r1i1p1f1,gn,v20191016,tasmax
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical,none,day,r1i1p1f1,gn,v20190710,tasmax
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126,none,day,r1i1p1f1,gn,v20190710,tasmax
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585,none,day,r1i1p1f1,gn,v20190710,tasmax
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical,none,day,r1i1p1f1,gn,v20190710,tasmax
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126,none,day,r1i1p1f1,gn,v20190710,tasmax
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585,none,day,r1i1p1f1,gn,v20190710,tasmax
CMIP6.CMIP.MRI.MRI-ESM2-0.historical,none,day,r1i1p1f1,gn,v20190603,tasmax
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp126,none,day,r1i1p1f1,gn,v20191108,tasmax
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp585,none,day,r1i1p1f1,gn,v20191108,tasmax
CMIP6.CMIP.NUIST.NESM3.historical,none,day,r1i1p1f1,gn,v20190812,tasmax
CMIP6.ScenarioMIP.NUIST.NESM3.ssp126,none,day,r1i1p1f1,gn,v20190806,tasmax
CMIP6.ScenarioMIP.NUIST.NESM3.ssp585,none,day,r1i1p1f1,gn,v20190811,tasmax
CMIP6.CMIP.NCC.NorESM2-LM.historical,none,day,r1i1p1f1,gn,v20190815,tasmax
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp126,none,day,r1i1p1f1,gn,v20191108,tasmax
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp585,none,day,r1i1p1f1,gn,v20191108,tasmax
CMIP6.CMIP.NCC.NorESM2-MM.historical,none,day,r1i1p1f1,gn,v20191108,tasmax
CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp126,none,day,r1i1p1f1,gn,v20191108,tasmax
CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp585,none,day,r1i1p1f1,gn,v20191108,tasmax
CMIP6.CMIP.MOHC.UKESM1-0-LL.historical,none,day,r1i1p1f2,gn,v20190627,tasmax
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126,none,day,r1i1p1f2,gn,v20190708,tasmax
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585,none,day,r1i1p1f2,gn,v20190726,tasmax
