"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"44","CORDEX.output.CAM-44.SMHI.MOHC-HadGEM2-ES.historical.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20141105"
"45","CORDEX.output.CAM-44.SMHI.MOHC-HadGEM2-ES.rcp26.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20170508"
"47","CORDEX.output.CAM-44.SMHI.MOHC-HadGEM2-ES.rcp85.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20141105"
"48","CORDEX.output.CAM-44.SMHI.MPI-M-MPI-ESM-LR.historical.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20141105"
"49","CORDEX.output.CAM-44.SMHI.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20170508"
"51","CORDEX.output.CAM-44.SMHI.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20141105"
"52","CORDEX.output.CAM-44.SMHI.NCC-NorESM1-M.historical.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20170508"
"53","CORDEX.output.CAM-44.SMHI.NCC-NorESM1-M.rcp26.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20170508"
"54","CORDEX.output.CAM-44.SMHI.NCC-NorESM1-M.rcp85.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20170508"
"55","CORDEX.output.CAM-44.SMHI.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20170508"
"56","CORDEX.output.CAM-44.SMHI.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20170508"
