DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;SUBPANEL
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical;none;r1i1p1f1;day;huss;gn;20191108;
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126;none;r1i1p1f1;day;huss;gn;20191108;
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585;none;r1i1p1f1;day;huss;gn;20191108;
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical;none;r1i1p1f1;day;psl;gn;20191108;
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126;none;r1i1p1f1;day;psl;gn;20191108;
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585;none;r1i1p1f1;day;psl;gn;20191108;
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical;none;r1i1p1f1;day;tasmax;gn;20191108;
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126;none;r1i1p1f1;day;tasmax;gn;20191108;
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585;none;r1i1p1f1;day;tasmax;gn;20191108;
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical;none;r1i1p1f1;day;huss;gn;20191115;
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126;none;r1i1p1f1;day;huss;gn;20191115;
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585;none;r1i1p1f1;day;huss;gn;20191115;
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical;none;r1i1p1f1;day;psl;gn;20191115;
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126;none;r1i1p1f1;day;psl;gn;20191115;
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585;none;r1i1p1f1;day;psl;gn;20191115;
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical;none;r1i1p1f1;day;tasmax;gn;20191115;
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126;none;r1i1p1f1;day;tasmax;gn;20191115;
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585;none;r1i1p1f1;day;tasmax;gn;20191115;
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical;none;r1i1p1f1;day;huss;gn;20181126;
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126;none;r1i1p1f1;day;huss;gn;20190319;
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585;none;r1i1p1f1;day;huss;gn;20190319;
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical;none;r1i1p1f1;day;psl;gn;20181126;
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126;none;r1i1p1f1;day;psl;gn;20190315;
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585;none;r1i1p1f1;day;psl;gn;20190318;
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical;none;r1i1p1f1;day;tasmax;gn;20181126;
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126;none;r1i1p1f1;day;tasmax;gn;20190315;
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585;none;r1i1p1f1;day;tasmax;gn;20190318;
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical;none;r1i1p1f2;day;huss;gr;20180917;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126;none;r1i1p1f2;day;huss;gr;20190219;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585;none;r1i1p1f2;day;huss;gr;20190219;
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical;none;r1i1p1f2;day;psl;gr;20180917;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126;none;r1i1p1f2;day;psl;gr;20190219;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585;none;r1i1p1f2;day;psl;gr;20190219;
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical;none;r1i1p1f2;day;tasmax;gr;20180917;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126;none;r1i1p1f2;day;tasmax;gr;20190219;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585;none;r1i1p1f2;day;tasmax;gr;20190219;
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical;none;r1i1p1f2;day;huss;gr;20191021;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp126;none;r1i1p1f2;day;huss;gr;20200127;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585;none;r1i1p1f2;day;huss;gr;20191202;
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical;none;r1i1p1f2;day;psl;gr;20191021;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp126;none;r1i1p1f2;day;psl;gr;20200127;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585;none;r1i1p1f2;day;psl;gr;20191202;
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical;none;r1i1p1f2;day;tasmax;gr;20191021;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp126;none;r1i1p1f2;day;tasmax;gr;20200127;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585;none;r1i1p1f2;day;tasmax;gr;20191202;
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical;none;r1i1p1f2;day;huss;gr;20181206;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126;none;r1i1p1f2;day;huss;gr;20190328;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585;none;r1i1p1f2;day;huss;gr;20191021;
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical;none;r1i1p1f2;day;psl;gr;20181206;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126;none;r1i1p1f2;day;psl;gr;20190328;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585;none;r1i1p1f2;day;psl;gr;20191021;
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical;none;r1i1p1f2;day;tasmax;gr;20181206;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126;none;r1i1p1f2;day;tasmax;gr;20190328;
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585;none;r1i1p1f2;day;tasmax;gr;20191021;
CMIP6.CMIP.CCCma.CanESM5.historical;none;r1i1p1f1;day;huss;gn;20190429;
