DATA_REF_SYNTAX;MODEL_ID;RCM_VERSION_ID;FREQUENCY;VAR_NAME;VERSION_NO;SUBPANEL
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.historical.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.historical.r1i1p1;RegCM4-4;v0;day;huss;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1;RegCM4-4;v0;day;tasmax;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1;RegCM4-4;v0;day;huss;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1;RegCM4-4;v0;day;tasmax;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1;RegCM4-4;v0;day;huss;v20190502;
CORDEX.output.SEA-22.ICTP.ICHEC-EC-EARTH.historical.r1i1p1;RegCM4-3;v4;day;tasmax;v20170912;
CORDEX.output.SEA-22.ICTP.ICHEC-EC-EARTH.historical.r1i1p1;RegCM4-3;v4;day;ps;v20170912;
CORDEX.output.SEA-22.ICTP.ICHEC-EC-EARTH.historical.r1i1p1;RegCM4-3;v4;day;huss;v20170912;
CORDEX.output.SEA-22.ICTP.ICHEC-EC-EARTH.rcp85.r1i1p1;RegCM4-3;v4;day;tasmax;v20170912;
CORDEX.output.SEA-22.ICTP.ICHEC-EC-EARTH.rcp85.r1i1p1;RegCM4-3;v4;day;ps;v20170912;
CORDEX.output.SEA-22.ICTP.ICHEC-EC-EARTH.rcp85.r1i1p1;RegCM4-3;v4;day;huss;v20170912;
CORDEX.output.SEA-22.ICTP.IPSL-IPSL-CM5A-LR.historical.r1i1p1;RegCM4-3;v4;day;tasmax;v20171212;
CORDEX.output.SEA-22.ICTP.IPSL-IPSL-CM5A-LR.historical.r1i1p1;RegCM4-3;v4;day;ps;v20171212;
CORDEX.output.SEA-22.ICTP.IPSL-IPSL-CM5A-LR.historical.r1i1p1;RegCM4-3;v4;day;huss;v20171212;
CORDEX.output.SEA-22.ICTP.IPSL-IPSL-CM5A-LR.rcp85.r1i1p1;RegCM4-3;v4;day;tasmax;v20171212;
CORDEX.output.SEA-22.ICTP.IPSL-IPSL-CM5A-LR.rcp85.r1i1p1;RegCM4-3;v4;day;ps;v20171212;
CORDEX.output.SEA-22.ICTP.IPSL-IPSL-CM5A-LR.rcp85.r1i1p1;RegCM4-3;v4;day;huss;v20171212;
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1;REMO2015;v1;day;tasmax;v20191015;
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1;REMO2015;v1;day;ps;v20191015;
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1;REMO2015;v1;day;huss;v20191015;
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1;REMO2015;v1;day;tasmax;v20191025;
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1;REMO2015;v1;day;ps;v20191025;
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1;REMO2015;v1;day;huss;v20191025;
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1;REMO2015;v1;day;tasmax;v20191029;
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1;REMO2015;v1;day;ps;v20191029;
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1;REMO2015;v1;day;huss;v20191029;
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1;RegCM4-7;v0;day;tasmax;v20190502;
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1;RegCM4-7;v0;day;ps;v20190502;
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1;RegCM4-7;v0;day;huss;v20190502;
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1;RegCM4-7;v0;day;tasmax;v20190502;
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1;RegCM4-7;v0;day;ps;v20190502;
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1;RegCM4-7;v0;day;huss;v20190502;
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1;RegCM4-7;v0;day;tasmax;v20190502;
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1;RegCM4-7;v0;day;ps;v20190502;
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1;RegCM4-7;v0;day;huss;v20190502;
CORDEX.output.SEA-22.SMHI.MOHC-HadGEM2-ES.historical.r1i1p1;RCA4;v1;day;tasmax;v20180528;
CORDEX.output.SEA-22.SMHI.MOHC-HadGEM2-ES.historical.r1i1p1;RCA4;v1;day;ps;v20180528;
CORDEX.output.SEA-22.SMHI.MOHC-HadGEM2-ES.historical.r1i1p1;RCA4;v1;day;huss;v20180528;
CORDEX.output.SEA-22.SMHI.MOHC-HadGEM2-ES.rcp85.r1i1p1;RCA4;v1;day;tasmax;v20180528;
CORDEX.output.SEA-22.SMHI.MOHC-HadGEM2-ES.rcp85.r1i1p1;RCA4;v1;day;ps;v20180528;
CORDEX.output.SEA-22.SMHI.MOHC-HadGEM2-ES.rcp85.r1i1p1;RCA4;v1;day;huss;v20180528;
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1;REMO2015;v1;day;tasmax;v20191015;
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1;REMO2015;v1;day;ps;v20191015;
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1;REMO2015;v1;day;huss;v20191015;
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1;REMO2015;v1;day;tasmax;v20191025;
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1;REMO2015;v1;day;ps;v20191025;
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1;REMO2015;v1;day;huss;v20191025;
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;REMO2015;v1;day;tasmax;v20191029;
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;REMO2015;v1;day;ps;v20191029;
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;REMO2015;v1;day;huss;v20191029;
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1;RegCM4-7;v0;day;tasmax;v20190502;
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1;RegCM4-7;v0;day;ps;v20190502;
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1;RegCM4-7;v0;day;huss;v20190502;
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1;RegCM4-7;v0;day;tasmax;v20190502;
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1;RegCM4-7;v0;day;ps;v20190502;
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1;RegCM4-7;v0;day;huss;v20190502;
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1;RegCM4-7;v0;day;tasmax;v20190502;
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1;RegCM4-7;v0;day;ps;v20190502;
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1;RegCM4-7;v0;day;huss;v20190502;
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.historical.r1i1p1;REMO2015;v1;day;tasmax;v20191015;
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.historical.r1i1p1;REMO2015;v1;day;ps;v20191015;
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.historical.r1i1p1;REMO2015;v1;day;huss;v20191015;
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1;REMO2015;v1;day;tasmax;v20191025;
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1;REMO2015;v1;day;ps;v20191025;
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1;REMO2015;v1;day;huss;v20191025;
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1;REMO2015;v1;day;tasmax;v20191029;
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1;REMO2015;v1;day;ps;v20191029;
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1;REMO2015;v1;day;huss;v20191029;
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.historical.r1i1p1;RegCM4-7;v0;day;tasmax;v20190502;
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.historical.r1i1p1;RegCM4-7;v0;day;ps;v20190502;
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.historical.r1i1p1;RegCM4-7;v0;day;huss;v20190502;
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1;RegCM4-7;v0;day;tasmax;v20190502;
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1;RegCM4-7;v0;day;ps;v20190502;
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1;RegCM4-7;v0;day;huss;v20190502;
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1;RegCM4-7;v0;day;tasmax;v20190502;
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1;RegCM4-7;v0;day;ps;v20190502;
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1;RegCM4-7;v0;day;huss;v20190502;
CORDEX.output.SEA-22.ICTP.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1;RegCM4-3;v4;day;tasmax;v20180719;
CORDEX.output.SEA-22.ICTP.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1;RegCM4-3;v4;day;ps;v20180719;
CORDEX.output.SEA-22.ICTP.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1;RegCM4-3;v4;day;huss;v20180719;
CORDEX.output.SEA-22.ICTP.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1;RegCM4-3;v4;day;tasmax;v20180719;
CORDEX.output.SEA-22.ICTP.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1;RegCM4-3;v4;day;ps;v20180719;
CORDEX.output.SEA-22.ICTP.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1;RegCM4-3;v4;day;huss;v20180719;
CORDEX.output.AFR-44.SMHI.CCCma-CanESM2.historical.r1i1p1;RCA4;v1;day;tasmax;v20130927;
CORDEX.output.AFR-44.SMHI.CCCma-CanESM2.historical.r1i1p1;RCA4;v1;day;ps;v20130927;
CORDEX.output.AFR-44.SMHI.CCCma-CanESM2.historical.r1i1p1;RCA4;v1;day;huss;v20130927;
CORDEX.output.AFR-44.SMHI.CCCma-CanESM2.rcp85.r1i1p1;RCA4;v1;day;tasmax;v20130927;
CORDEX.output.AFR-44.SMHI.CCCma-CanESM2.rcp85.r1i1p1;RCA4;v1;day;ps;v20130927;
CORDEX.output.AFR-44.SMHI.CCCma-CanESM2.rcp85.r1i1p1;RCA4;v1;day;huss;v20130927;
CORDEX.output.AFR-44.CLMcom.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;CCLM4-8-17;v1;day;tasmax;v20140401;
CORDEX.output.AFR-44.CLMcom.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;CCLM4-8-17;v1;day;ps;v20140401;
CORDEX.output.AFR-44.CLMcom.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;CCLM4-8-17;v1;day;huss;v20140401;
CORDEX.output.AFR-44.CLMcom.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;CCLM4-8-17;v1;day;tasmax;v20140401;
CORDEX.output.AFR-44.CLMcom.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;CCLM4-8-17;v1;day;ps;v20140401;
CORDEX.output.AFR-44.CLMcom.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;CCLM4-8-17;v1;day;huss;v20140401;
CORDEX.output.AFR-44.SMHI.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;RCA4;v1;day;tasmax;v20130927;
CORDEX.output.AFR-44.SMHI.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;RCA4;v1;day;ps;v20130927;
CORDEX.output.AFR-44.SMHI.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;RCA4;v1;day;huss;v20130927;
CORDEX.output.AFR-44.SMHI.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;RCA4;v1;day;tasmax;v20130927;
CORDEX.output.AFR-44.SMHI.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;RCA4;v1;day;ps;v20130927;
CORDEX.output.AFR-44.SMHI.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;RCA4;v1;day;huss;v20130927;
CORDEX.output.AFR-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.historical.r1i1p1;RCA4;v1;day;tasmax;v20141217;
CORDEX.output.AFR-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.historical.r1i1p1;RCA4;v1;day;ps;v20141217;
CORDEX.output.AFR-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.historical.r1i1p1;RCA4;v1;day;huss;v20141217;
CORDEX.output.AFR-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.rcp85.r1i1p1;RCA4;v1;day;tasmax;v20141217;
CORDEX.output.AFR-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.rcp85.r1i1p1;RCA4;v1;day;ps;v20141217;
CORDEX.output.AFR-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.rcp85.r1i1p1;RCA4;v1;day;huss;v20141217;
CORDEX.output.AFR-44.CLMcom.ICHEC-EC-EARTH.historical.r12i1p1;CCLM4-8-17;v1;day;tasmax;v20140401;
CORDEX.output.AFR-44.CLMcom.ICHEC-EC-EARTH.historical.r12i1p1;CCLM4-8-17;v1;day;ps;v20140401;
CORDEX.output.AFR-44.CLMcom.ICHEC-EC-EARTH.historical.r12i1p1;CCLM4-8-17;v1;day;huss;v20140401;
CORDEX.output.AFR-44.CLMcom.ICHEC-EC-EARTH.rcp85.r12i1p1;CCLM4-8-17;v1;day;tasmax;v20140401;
CORDEX.output.AFR-44.CLMcom.ICHEC-EC-EARTH.rcp85.r12i1p1;CCLM4-8-17;v1;day;ps;v20140401;
CORDEX.output.AFR-44.CLMcom.ICHEC-EC-EARTH.rcp85.r12i1p1;CCLM4-8-17;v1;day;huss;v20140401;
CORDEX.output.AFR-44.DMI.ICHEC-EC-EARTH.historical.r3i1p1;HIRHAM5;v2;day;tasmax;v20140804;
CORDEX.output.AFR-44.DMI.ICHEC-EC-EARTH.historical.r3i1p1;HIRHAM5;v2;day;ps;v20140804;
CORDEX.output.AFR-44.DMI.ICHEC-EC-EARTH.historical.r3i1p1;HIRHAM5;v2;day;huss;v20140804;
CORDEX.output.AFR-44.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1;HIRHAM5;v2;day;tasmax;v20140915;
CORDEX.output.AFR-44.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1;HIRHAM5;v2;day;ps;v20140915;
CORDEX.output.AFR-44.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1;HIRHAM5;v2;day;huss;v20140915;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.historical.r12i1p1;RACMO22T;v1;day;tasmax;v20170403;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.historical.r12i1p1;RACMO22T;v1;day;ps;v20170403;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.historical.r12i1p1;RACMO22T;v1;day;huss;v20170403;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.rcp26.r12i1p1;RACMO22T;v1;day;tasmax;v20170403;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.rcp26.r12i1p1;RACMO22T;v1;day;ps;v20170403;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.rcp26.r12i1p1;RACMO22T;v1;day;huss;v20170403;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.historical.r1i1p1;RACMO22T;v1;day;tasmax;v20140304;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.historical.r1i1p1;RACMO22T;v1;day;ps;v20140207;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.historical.r1i1p1;RACMO22T;v1;day;huss;v20140304;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.rcp85.r1i1p1;RACMO22T;v1;day;tasmax;v20140304;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.rcp85.r1i1p1;RACMO22T;v1;day;ps;v20140207;
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.rcp85.r1i1p1;RACMO22T;v1;day;huss;v20140304;
CORDEX.output.AFR-44.MPI.ICHEC-EC-EARTH.historical.r12i1p1;CSC-REMO2009;v1;day;tasmax;v20160412;
CORDEX.output.AFR-44.MPI.ICHEC-EC-EARTH.historical.r12i1p1;CSC-REMO2009;v1;day;ps;v20160412;
CORDEX.output.AFR-44.MPI.ICHEC-EC-EARTH.historical.r12i1p1;CSC-REMO2009;v1;day;huss;v20160412;
CORDEX.output.AFR-44.MPI.ICHEC-EC-EARTH.rcp26.r12i1p1;CSC-REMO2009;v1;day;tasmax;v20160412;
CORDEX.output.AFR-44.MPI.ICHEC-EC-EARTH.rcp26.r12i1p1;CSC-REMO2009;v1;day;ps;v20160412;
CORDEX.output.AFR-44.MPI.ICHEC-EC-EARTH.rcp26.r12i1p1;CSC-REMO2009;v1;day;huss;v20160412;
CORDEX.output.AFR-44.MPI.ICHEC-EC-EARTH.rcp85.r12i1p1;CSC-REMO2009;v1;day;tasmax;v20160412;
CORDEX.output.AFR-44.MPI.ICHEC-EC-EARTH.rcp85.r12i1p1;CSC-REMO2009;v1;day;ps;v20160412;
CORDEX.output.AFR-44.MPI.ICHEC-EC-EARTH.rcp85.r12i1p1;CSC-REMO2009;v1;day;huss;v20160412;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1;RCA4;v1;day;tasmax;v20130927;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1;RCA4;v1;day;ps;v20130927;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1;RCA4;v1;day;huss;v20130927;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1;RCA4;v1;day;tasmax;v20130927;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1;RCA4;v1;day;ps;v20130927;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1;RCA4;v1;day;huss;v20130927;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1;RCA4;v1;day;tasmax;v20130927;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1;RCA4;v1;day;ps;v20130927;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1;RCA4;v1;day;huss;v20130927;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.historical.r1i1p1;RCA4;v1;day;tasmax;v20191014;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.historical.r1i1p1;RCA4;v1;day;ps;v20191014;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.historical.r1i1p1;RCA4;v1;day;huss;v20191014;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp85.r1i1p1;RCA4;v1;day;tasmax;v20191014;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp85.r1i1p1;RCA4;v1;day;ps;v20191014;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.rcp85.r1i1p1;RCA4;v1;day;huss;v20191014;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.historical.r3i1p1;RCA4;v1;day;tasmax;v20191014;
CORDEX.output.AFR-44.SMHI.ICHEC-EC-EARTH.historical.r3i1p1;RCA4;v1;day;ps;v20191014;
